M,S,K,phi1,phi2,Ec,Pr,eta,f3,f5
1.0,1.0471975511965976,1.0,0.02,0.01,0.3,204.0,0.666,-0.738286453349043,-0.3274823182890389
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,2.001,-1.2750135053328997,-0.4821431596399336
0.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.666,-0.678774162938626,-0.4617618360928274
1.0,1.0471975511965976,1.0,0.03,0.01,0.3,204.0,0.333,-0.6217699502869516,-0.4237854270939948
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,1.332,-1.173023308628664,-0.2098042804246221
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,1.332,-0.3829243059609854,-0.1795217461541771
1.0,1.0471975511965976,1.0,0.01,0.01,0.3,204.0,2.334,-0.8117557081341124,-0.7336621821216106
1.0,1.0471975511965976,1.0,0.02,0.02,1.0,204.0,0.999,-0.4239281521342725,-0.2632502703377263
1.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,2.001,-0.7283102465780517,-0.3870321066781488
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,2.001,-0.3782674414580119,-0.1618196784721516
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,1.668,-1.2786754264997833,-0.2918396112299041
1.0,1.0471975511965976,1.0,0.03,0.01,0.3,204.0,1.668,-0.9839375497252802,-0.4449018473406164
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,2.667,-0.3856812316573922,-0.0348167128888245
1.0,0.5235987755982988,1.0,0.02,0.01,0.1,204.0,2.001,-1.2836186023144711,-0.3702943947374881
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,1.668,-0.3432714565007736,-0.1286537153780398
1.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.666,-0.6401635897454716,-0.4081728962852524
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,0.333,-0.5160757510909665,-0.9893251487299064
1.0,1.0471975511965976,1.0,0.03,0.01,0.3,204.0,1.332,-0.9423991481067991,-0.3822897918753141
1.0,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.333,-0.5966835992403061,-0.6548720725199754
1.0,1.0471975511965976,1.0,0.02,0.01,0.3,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,0.666,-0.8219555239301322,-0.1356705209388442
0.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,2.001,-0.7109186849934261,-0.3986108198370477
1.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,2.334,-0.6568147594755358,-0.3986857762493186
1.0,1.0471975511965976,1.5,0.02,0.01,0.3,204.0,0.666,-1.0822547913786644,-0.741582374526891
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,2.334,-0.338246481820908,-0.1313516237821061
1.0,0.7853981633974483,1.0,0.02,0.01,0.1,204.0,0.0,-0.52987,5.64949
1.0,0.7853981633974483,1.0,0.02,0.01,0.1,204.0,0.999,-0.7544351924486183,-0.0837675248156813
0.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,1.332,-0.7654594598978063,-0.4044683056319904
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,0.999,-0.5011015327851934,-0.3755447154563754
1.0,0.5235987755982988,1.0,0.02,0.01,0.1,204.0,0.666,-0.7456401375115815,-0.1104069244595935
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,3.0,-0.4034192517026685,-0.0381487744157627
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,2.001,-0.3175629033761895,-0.1033188552007787
1.0,1.0471975511965976,1.0,0.03,0.01,0.3,204.0,0.999,-0.8520788728239072,-0.3388579736128924
1.0,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.03,0.01,0.3,204.0,2.667,-0.5217068733033511,-5.072533298528624
1.0,1.0471975511965976,1.0,0.02,0.02,1.0,204.0,1.332,-0.3778319109451131,-0.1743593809159778
0.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,1.332,-0.3778319109451131,-0.1743593809159778
1.0,1.0471975511965976,1.0,0.02,0.02,1.0,204.0,2.001,-0.3175629033761895,-0.1033188552007787
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,2.334,-0.362663268242558,-0.0317288299969183
1.0,0.7853981633974483,1.0,0.02,0.01,0.1,204.0,2.001,-1.2166018032770154,-0.2323094461581916
1.0,1.0471975511965976,1.0,0.02,0.02,1.0,204.0,3.0,-0.2573046634782066,-0.068537014727778
1.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,2.667,-0.527421401057548,-0.4208153412220066
1.0,0.7853981633974483,1.0,0.02,0.01,0.1,204.0,0.666,-0.6198377624354063,-0.0750135301535521
1.0,1.0471975511965976,1.0,0.02,0.02,1.0,204.0,2.334,-0.2965988571394554,-0.0877084526674881
1.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,1.668,-0.750587842614699,-0.3733035805027311
1.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.999,-0.6930847579802112,-0.3636499658000446
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,0.666,-0.4813210297608019,-0.461618462300373
1.0,1.0471975511965976,1.5,0.02,0.01,0.3,204.0,1.668,-1.1057392511795352,-1.089219352099416
1.0,1.0471975511965976,1.5,0.02,0.01,0.3,204.0,0.999,-1.2435525210284106,-0.8330347635166622
1.0,1.0471975511965976,1.0,0.01,0.01,0.3,204.0,0.333,-0.6217699502869516,-0.4237854270939948
1.0,0.7853981633974483,1.0,0.02,0.01,0.1,204.0,0.333,-0.5321526122484251,-0.1036101827712328
1.0,1.0471975511965976,1.0,0.03,0.01,0.3,204.0,0.666,-0.738286453349043,-0.3274823182890389
1.0,1.0471975511965976,1.0,0.01,0.01,0.3,204.0,0.999,-0.8520788728239072,-0.3388579736128924
1.0,1.0471975511965976,1.0,0.02,0.02,1.0,204.0,0.333,-0.5357238812396813,-1.075420946783137
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,1.668,-0.2928923865792332,-0.090115120120485
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,0.666,-0.5427518447735816,-0.5925986917443546
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,2.334,-0.2965988571394554,-0.0877084526674881
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,1.332,-0.3038401295010681,-0.0304538235648636
1.0,1.0471975511965976,1.0,0.02,0.01,0.3,204.0,2.001,-0.9493532334440729,-0.5323323288869982
1.0,0.5235987755982988,1.0,0.02,0.01,0.1,204.0,0.999,-0.9153302123622168,-0.1291767113699818
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,3.0,-0.2580917177870214,-0.0699954869653516
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,0.999,-0.4239281521342725,-0.2632502703377263
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,0.333,-0.6472764867617246,-0.1520349787196264
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,1.668,-0.3162655699733225,-0.0284123125825892
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,2.667,-0.2491619634018773,-0.0557834070371662
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,0.999,-0.4239281521342725,-0.2632502703377263
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,2.001,-1.033207171699176,-0.1248291976461691
0.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,1.668,-0.7615246152110079,-0.4034927012148969
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,0.333,-0.5357238812396813,-1.075420946783137
0.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.999,-0.733691010908527,-0.4139963996124683
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,2.334,-0.2998787998618166,-0.090407536234539
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,0.666,-0.4886081334407756,-0.0459079914247694
1.0,0.5235987755982988,1.0,0.02,0.01,0.1,204.0,1.668,-1.223239088910587,-0.2362955563779342
1.0,1.0471975511965976,1.5,0.02,0.01,0.3,204.0,1.332,-1.2676729274884129,-0.9414585781747066
1.0,1.0471975511965976,1.5,0.02,0.01,0.3,204.0,0.333,-0.8259254638125545,-0.7418019565568389
1.0,0.5235987755982988,1.0,0.02,0.01,0.1,204.0,1.332,-1.0855730883844534,-0.168954406629929
1.0,0.7853981633974483,1.0,0.02,0.01,0.1,204.0,2.667,-1.211530456655021,-2.3394429706651265
0.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,2.334,-0.6060874628242513,-0.3856777870969721
1.0,0.7853981633974483,1.0,0.02,0.01,0.1,204.0,1.668,-1.0816828433216052,-0.1544398301164255
1.0,1.0471975511965976,1.0,0.02,0.01,0.3,204.0,0.999,-0.8520788728239072,-0.3388579736128924
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,3.0,-0.2513830551729615,-0.085052873665952
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,3.0,-0.2573046634782066,-0.068537014727778
1.0,1.0471975511965976,1.0,0.01,0.01,0.3,204.0,2.667,-0.5217068733033511,-5.072533298528624
1.0,1.0471975511965976,1.0,0.01,0.01,0.3,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,0.666,-0.4851144311160835,-0.469207965059395
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,2.001,-0.3217872784001091,-0.1067131196587685
1.0,1.0471975511965976,1.0,0.01,0.01,0.3,204.0,2.001,-0.9493532334440729,-0.5323323288869982
0.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,2.667,-0.4427850823055314,-0.380054965787866
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,0.666,-0.4435736792690348,-0.3896562645130196
1.0,1.0471975511965976,1.0,0.02,0.02,1.0,204.0,0.666,-0.4813210297608019,-0.461618462300373
1.0,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.999,-0.7137128341646234,-0.3886704620639016
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,0.666,-0.3410163080882163,-0.0672619875033482
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,1.668,-0.417637406520417,-0.2033050018205842
1.0,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,2.334,-0.6326775284371926,-0.3940338731843144
1.0,1.0471975511965976,1.0,0.02,0.01,0.3,204.0,1.668,-0.9839375497252802,-0.4449018473406164
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,2.667,-0.2961888638104533,-0.1066602700283029
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,0.333,-0.566628403826901,-1.2204913139546518
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,1.668,-0.3481335253933182,-0.1328468058330334
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,2.001,-0.3379448705937327,-0.0293430163485854
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,2.334,-1.1818227296189283,-0.1962313458735841
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,2.001,-0.3175629033761895,-0.1033188552007787
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,0.999,-0.5759625105087941,-0.046674658399997
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,2.334,-0.2587066601761226,-0.0615820416431783
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,0.333,-0.4096543435117799,-0.190001884526358
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,0.333,-0.4605402976153291,-0.0783181634217766
1.0,1.0471975511965976,1.0,0.01,0.01,0.3,204.0,1.668,-0.9839375497252802,-0.4449018473406164
1.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.333,-0.5842363036692626,-0.6283657220620589
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,1.332,-0.3263101860368154,-0.1270073626231617
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,2.667,-0.277261508478725,-0.0769556922412396
1.0,0.5235987755982988,1.0,0.02,0.01,0.1,204.0,2.334,-1.2117091122589216,-1.0320661620083211
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,0.0,-0.52987,5.64949
0.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.333,-0.6091013882717312,-0.6818898582443035
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,1.668,-0.867195506156597,-0.084268792136813
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,0.333,-0.537672885275914,-1.0842400105693708
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,3.0,-0.2573046634782066,-0.068537014727778
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,0.999,-0.4287136063982557,-0.2695730920021279
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,0.666,-0.4813210297608019,-0.461618462300373
1.0,1.0471975511965976,1.0,0.03,0.01,0.3,204.0,2.334,-0.8117557081341124,-0.7336621821216106
1.0,1.0471975511965976,1.0,0.02,0.02,1.0,204.0,1.668,-0.3432714565007736,-0.1286537153780398
1.0,1.0471975511965976,1.0,0.01,0.01,0.3,204.0,1.332,-0.9423991481067991,-0.3822897918753141
1.0,1.0471975511965976,1.0,0.02,0.01,0.3,204.0,2.334,-0.8117557081341124,-0.7336621821216106
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,3.0,-0.2406032295378739,-0.0520135696900092
1.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,0.3,204.0,1.332,-0.9423991481067991,-0.3822897918753141
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,1.668,-0.3432714565007736,-0.1286537153780398
1.0,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,1.332,-0.7505410199357972,-0.3831862340223719
1.0,1.0471975511965976,1.0,0.03,0.01,0.3,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,0.333,-0.5357238812396813,-1.075420946783137
